Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
CO2 emissions (kt),EN.ATM.CO2E.KT,"Iran, Islamic Rep.",IRN,179240,340750,561730,571120,592480,610670,602230,605760,620780,629290,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Iraq,IRQ,64850,74570,131030,151860,162550,168840,162190,172350,174290,188140,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Ireland,IRL,31000,42620,36360,37100,35720,35550,36990,38710,37530,37110,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Israel,ISR,33800,57000,69820,76060,67000,64710,66140,65260,66040,61970,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Italy,ITA,405260,436300,396690,376750,346450,327490,337860,333340,329190,324850,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Jamaica,JAM,7470,10060,7600,7110,7580,7400,7290,7750,7190,8510,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Japan,JPN,1092560,1182950,1212170,1252220,1260900,1219820,1181500,1171390,1151930,1106150,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Jordan,JOR,9930,16270,20760,24120,23800,25590,25360,24860,26100,24700,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Kazakhstan,KAZ,237570,114680,242190,241490,256340,205230,206640,223020,225560,220450,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Kenya,KEN,6140,8230,13030,12130,14100,15030,17090,18770,18890,18400,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Kiribati,KIR,20,40,50,60,60,60,60,80,80,80,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,"Korea, Dem. People's Rep.",PRK,123370,71820,37040,38500,27820,31420,25300,30090,22380,18120,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,"Korea, Rep.",KOR,249250,455690,597290,598960,597640,586000,606510,614780,625350,630870,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Kuwait,KWT,29250,47170,81160,83590,85260,83580,88040,89880,89720,89460,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Kyrgyz Republic,KGZ,22760,4670,7620,10060,9380,9710,10270,9700,9340,11000,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Lao PDR,LAO,510,900,3040,3270,3910,4420,8660,15360,18510,18790,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Latvia,LVA,18780,6930,7900,7570,7450,7280,7320,7150,7120,7630,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Lebanon,LBN,5620,15670,21180,23480,23240,24940,27050,27810,29280,27710,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Lesotho,LSO,1390,1750,2210,2280,2290,2310,2230,2270,2440,2570,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Liberia,LBR,450,430,850,950,910,1220,1260,1410,1260,1320,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Libya,LBY,36090,39870,38050,52300,54990,59700,53840,51180,56810,58940,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Liechtenstein,LIE,200,220,180,190,190,160,160,150,160,140,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Lithuania,LTU,32220,10510,11840,11930,11330,10860,11070,11200,11220,11590,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Luxembourg,LUX,11320,8580,10930,10690,10150,9650,9130,8860,9000,9320,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Madagascar,MDG,890,1650,2190,2740,2930,3050,3320,3220,3500,3370,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Malawi,MWI,720,880,1140,1120,1210,1100,1200,1360,1500,1570,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Malaysia,MYS,56190,121650,201670,203280,219820,231680,232550,228640,222890,239620,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Maldives,MDV,160,460,1010,1140,1130,1360,1350,1750,1820,1910,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Mali,MLI,420,1410,3120,3110,3050,3120,3410,4420,5050,5620,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Malta,MLT,2320,2130,2570,2710,2370,2350,1650,1350,1520,1550,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Marshall Islands,MHL,0,100,140,140,140,150,150,180,180,190,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Mauritania,MRT,840,1120,2190,2400,2200,2520,2950,2810,3800,4000,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Mauritius,MUS,1160,2430,3640,3730,3820,3950,3960,4040,4180,4130,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Mexico,MEX,267700,384480,480960,480710,469860,458320,472590,479250,471810,472140,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,"Micronesia, Fed. Sts.",FSM,0,130,120,130,140,140,150,170,170,180,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Moldova,MDA,30530,6710,8350,8140,7180,7710,8020,8140,8160,8590,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Mongolia,MNG,12970,9000,15730,17140,18380,18120,17300,18170,19470,21320,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Montenegro,MNE,0,0,2540,2330,2270,2220,2360,2110,2230,2520,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Morocco,MAR,21730,33290,57790,60150,59720,61160,63150,63080,65930,66680,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Mozambique,MOZ,1120,1430,3200,3070,3460,4470,5640,5790,6020,6640,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Myanmar,MMR,4190,9600,8580,11790,13590,17040,19010,21890,31400,32520,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Namibia,NAM,..,1940,3320,3540,3820,4000,4270,4360,4330,4250,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Nauru,NRU,130,90,40,40,50,50,50,60,70,70,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Nepal,NPL,940,3220,5200,6000,6090,7130,6460,9340,11030,12030,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Netherlands,NLD,148350,162300,158870,157520,157120,149890,158110,158270,155910,151170,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,New Zealand,NZL,22310,29500,30350,32010,31750,31790,32190,31180,32920,32210,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Nicaragua,NIC,1930,3770,4770,4690,4490,4760,5270,5380,5400,5210,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Niger,NER,600,670,1410,1890,1790,1980,1970,1970,2070,2290,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Nigeria,NGA,67850,76070,102090,100680,110720,116200,108150,108420,112920,130670,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,North Macedonia,MKD,8590,8820,9640,9130,8240,7780,7480,7390,7860,7370,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Norway,NOR,29200,34080,40160,39110,38210,38280,38640,37950,36900,37350,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Oman,OMN,11890,22540,52380,58650,60990,64470,68300,69540,69900,73370,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Pakistan,PAK,61050,98370,141640,143750,145100,153670,163590,180570,197700,208370,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Palau,PLW,0,210,220,210,220,220,220,260,270,290,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Panama,PAN,2690,5280,9990,10460,10610,11280,10700,10770,10250,10140,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Papua New Guinea,PNG,2170,2820,5150,4900,5230,5870,6430,7630,7700,7460,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Paraguay,PRY,2070,3520,5220,5180,5300,5630,6370,7150,8000,8420,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Peru,PER,20630,28430,48580,48370,49520,52810,53820,56530,53990,54280,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Philippines,PHL,40840,73190,84470,88060,97800,104410,113670,124920,136590,142240,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Poland,POL,350220,295710,310590,303350,298330,285740,289050,299740,312820,312740,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Portugal,PRT,41070,61660,49870,48220,46560,45930,49850,48760,53330,49780,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Qatar,QAT,12540,21730,65770,73290,74600,80400,83310,85280,87680,90170,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Romania,ROU,172630,88880,83950,81730,72010,71410,72900,71140,74100,74880,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Russian Federation,RUS,2164870,1489500,1661780,1666860,1624020,1606860,1557530,1530900,1557190,1607550,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Rwanda,RWA,520,520,650,720,780,810,930,1050,1050,1080,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Samoa,WSM,110,150,200,200,200,210,240,300,300,320,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Sao Tome and Principe,STP,50,50,100,120,120,120,120,120,130,140,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Saudi Arabia,SAU,166390,244340,456670,488750,499380,536810,561140,556740,540700,514600,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Senegal,SEN,2330,4060,7570,7460,8010,8570,9280,9920,9570,9860,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Serbia,SRB,61910,43990,50810,45450,46150,38720,45160,46240,46900,45540,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Seychelles,SYC,150,580,400,450,410,460,500,540,590,620,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Sierra Leone,SLE,340,400,770,890,1070,1180,940,960,970,1020,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Singapore,SGP,29720,42580,44770,43690,43920,44460,45500,46160,47430,47360,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Slovak Republic,SVK,54810,38070,34130,32370,32940,30450,30750,31500,33580,33000,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Slovenia,SVN,13530,14540,15730,15170,14600,13170,13170,13930,14140,14050,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Solomon Islands,SLB,150,240,350,360,390,340,310,360,350,370,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Somalia,SOM,730,490,630,630,650,650,650,660,660,690,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,South Africa,ZAF,247660,284730,409120,426710,436870,447980,424880,425180,435140,433250,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,South Sudan,SSD,0,0,0,1420,1450,1530,1970,1730,1520,1380,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Spain,ESP,215020,293310,274400,269270,242800,240960,256280,247030,263440,258340,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Sri Lanka,LKA,3840,10930,15420,16830,14480,17600,20360,21930,23310,21630,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,St. Kitts and Nevis,KNA,110,190,260,350,230,230,240,250,240,260,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,St. Lucia,LCA,170,360,380,520,320,360,380,350,370,390,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,St. Vincent and the Grenadines,VCT,80,160,230,400,220,290,220,270,270,280,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Sudan,SDN,5370,5550,15350,15210,14500,15330,17800,20480,20340,20200,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Suriname,SUR,1740,1480,1950,2440,2290,2640,2750,2310,2130,2080,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Sweden,SWE,53350,53280,44590,42150,40550,39100,39200,38790,38330,36000,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Switzerland,CHE,43330,43710,41190,42470,43480,39730,39030,39610,38620,37480,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Syrian Arab Republic,SYR,29570,39530,55920,45990,30530,27070,26040,26460,29100,27910,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Tajikistan,TJK,11020,2200,2540,2990,3160,4470,4760,5960,6370,7330,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Tanzania,TZA,1890,2950,8160,9870,10810,10720,11690,10920,11360,11580,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Thailand,THA,88560,163140,234620,252070,262460,258660,263080,260720,260660,257860,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Timor-Leste,TLS,0,0,250,300,460,530,610,690,600,640,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Togo,TGO,970,1270,2510,2230,1750,1590,1820,2300,2070,2260,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Tonga,TON,80,100,110,110,120,110,110,150,180,190,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Trinidad and Tobago,TTO,14110,14360,23190,22120,22730,21920,21260,18230,18190,17760,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Tunisia,TUN,13750,20930,25720,26680,26770,28830,29670,28990,29890,29980,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Turkey,TUR,139220,216620,317720,328880,318170,340640,351590,374590,415900,412970,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Turkmenistan,TKM,44650,36850,63410,66300,67780,69490,72080,72020,71960,71730,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Tuvalu,TUV,10,10,10,10,10,10,10,10,10,10,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Uganda,UGA,790,1330,4160,3910,4270,4740,4860,5670,5840,6130,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Ukraine,UKR,688620,297380,283520,277290,268600,237610,190870,201250,174840,185370,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,United Arab Emirates,ARE,55400,84540,166320,175730,184100,183840,194040,199460,208250,200300,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,United Kingdom,GBR,556690,530120,444420,467080,453060,414850,400370,378890,366380,358800,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,United States,USA,4844990,5776410,5172100,4950210,5089500,5102580,4982790,4888640,4813720,4981300,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Uruguay,URY,3850,5460,7610,8520,7360,6500,6590,6530,6080,6520,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Uzbekistan,UZB,117770,121690,125040,111290,113130,105410,101530,107350,111380,112090,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Vanuatu,VUT,70,90,130,120,110,160,140,180,170,180,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,"Venezuela, RB",VEN,103120,134390,170180,183930,187680,188350,173880,162060,148740,138160,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Vietnam,VNM,18410,50310,149020,147270,153630,168560,209200,223870,222130,257860,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,West Bank and Gaza,PSE,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,"Yemen, Rep.",YEM,6640,13890,20690,19680,26350,26710,14210,10880,10060,9310,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Zambia,ZMB,2740,1810,3060,4020,4240,4800,5070,5590,6990,7740,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Zimbabwe,ZWE,16530,13700,11490,12110,12360,12150,12400,10990,10230,12270,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Africa Eastern and Southern,AFE,309980.8254427,358460.646325123,535604.357505138,559333.857277447,580510.924988882,601860.163982524,586385.004028878,592299.593958805,601323.394690938,600351.133332593,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Africa Western and Central,AFW,90210,119510,179070,181740,191990,198440,193060,195120,201900,224380,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Arab World,ARB,639188.590050262,893140.615190274,1564748.61270522,1675996.99451633,1706809.49206951,1784413.19760842,1828844.25666163,1846600.61118379,1865421.54352234,1863603.72668494,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Caribbean small states,CSS,28330,32770,41140,42870,41400,40210,39450,36580,35670,36920,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Central Europe and the Baltics,CEB,988720,708640,708790,682080,656190,635680,645360,656330,680750,676470,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Early-demographic dividend,EAR,2596070.24706693,3860085.63976115,6097436.46226567,6382099.55815815,6455620.42245337,6786314.14661783,6852436.87383323,6961236.5406579,7207207.07929263,7400359.5242425,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,East Asia & Pacific,EAS,4545253.93044809,6487816.43580857,13409665.6283473,13756716.1009153,14185336.6519105,14155188.4516276,14136568.7385092,14170430.3914366,14433707.8899407,14810056.8744746,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,East Asia & Pacific (excluding high income),EAP,2671323.18581045,4130609.69867877,10505942.7330843,10794379.6717816,11202249.4835804,11235090.2736051,11228610.1177171,11254610.7431934,11507916.8367761,11907866.4580451,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,East Asia & Pacific (IDA & IBRD countries),TEA,2548192.68320844,4058990.00582629,10468910,10755870,11174430,11203670,11203310,11224570,11485600,11889820,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Euro area,EMU,2622870,2632530,2408310,2379020,2332350,2208030,2256340,2253030,2256530,2207420,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Europe & Central Asia,ECS,7974744.74158438,6444224.00804934,6555060.50829955,6516141.96473289,6383963.13354585,6107967.96534974,6069600.2503719,6089580.3055483,6148128.37700757,6142069.26253052,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Europe & Central Asia (excluding high income),ECA,4025750.576386,2601084.35631278,3042250.95817305,3033362.49038921,2973728.58759142,2886246.82462307,2807994.23733557,2837305.1372992,2893251.37815284,2949087.38998098,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Europe & Central Asia (IDA & IBRD countries),TEC,4395566.83375891,2914549.76673988,3371465.47386607,3353744.43361343,3288680.46728164,3187913.96422831,3113343.34600293,3153613.88405586,3223185.74643835,3278021.79750843,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,European Union,EUU,3562660,3362290,3117130,3057640,2983560,2838990,2896820,2904100,2926600,2871000,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Fragile and conflict affected situations,FCS,446918.890626661,503213.116767381,678687.062279153,723565.512134869,745929.338519784,772835.180645897,731376.557142715,733331.864367626,745603.453982299,771602.929738531,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Heavily indebted poor countries (HIPC),HPC,54317.307039064,79050,157750,164190,169460,179610,188990,197520,204450,211980,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,High income,HIC,11460760.0622572,12997901.2603831,12779818.1652863,12635662.5795046,12733610.9241457,12533637.7248378,12490171.9366894,12388259.1860484,12320925.4316999,12366368.3272107,..,..
